ja	似合うと思った | 
id	Tapi cocok! 
ru	Но оно тебе идет! 
ar	&rlm;‏إنه مناسب!‏ | 
da	Det virker jo! 
el	Είχα δίκιο πάντως! 
en	-Well, it works! | -[chuckles] | 
es-eu	¡Pues funciona! 
es	¡Funciona! 
fi	Se toimii. 
fr	Elle te va bien ! 
he	&rlm;‏ובכן, היא עובדת!‏ | 
it	Beh, è perfetto! 
ko	잘 어울리네! | 
nl	Het werkt wel. 
no	Det funker! 
pl	Pasuje! 
pt	Bem, fica-te bem! 
pt-br	Bem, deu certo! 
ro	Îți stă bine! 
sv	Den funkar. 
th	แหม มันเข้าท่าสุดๆ | 
tr	İşe yaramış! 
vi	Hợp đấy! | 
zh-long	果然好看！ 
zh-short	非常惊艳！ 

en	[muffled muttering] 

