ru	Наверно. 
ja	そうね | 
id	Kurasa begitu. 
th	ก็คงใช่ | 
ar	&rlm;‏أظن ذلك.‏ | 
da	Det har den vel. 
el	Μάλλον. 
en	[scoffs] I guess. | 
fi	On kai. 
fr	Certes. 
he	&rlm;‏אני מניחה.‏ | 
it	Direi di sì. 
pl	Może i tak. 
pr	Acho que sim. 
pr-br	Acho que sim. 
ro	Așa cred. 
sp-eu	Supongo. 
sp	Supongo. 
sv	Jag antar det. 
tr	Sanırım öyle. 
vi	Em nghĩ vậy. | 
zh-long	或許吧 
zh-short	我想是吧 
nl	Vast wel. Maar ik ben aan verandering toe. 
no	Den har vel det. Jeg føler bare at jeg trenger noe nytt. 
ko	그렇긴 하죠 | 

