id	Dengar, ini masalahnya. 
ru	Понимаешь, в чем дело? 
ja	聞いてくれ | 
fi	Kuuntele. 
zh-short	听着 是这么回事 
th	ฟังนะ ประเด็นก็คือ | 
ar	&rlm;‏اسمعي، هذا هو الأمر.‏ | 
da	Nu skal du høre her. 
el	Άκου τι γίνεται. 
en	Look, here's the thing. | 
fr	Alors, voilà. 
he	&rlm;‏תראי, זה העניין.‏ | 
it	Ascolta, il punto è questo. 
ko	있잖아 | 
no	Nå skal du høre. 
pl	Sprawa wygląda tak. 
pr-br	O negócio é o seguinte. 
pr	Olha, passa-se o seguinte. 
ro	Uite care e treaba! 
sp-eu	Esta es la cuestión. 
sp	Mira, este es el asunto. 
sv	Så här är det. 
tr	Bak, mesele şu. 
vi	Nghe này, chuyện thế này. | 
zh-long	聽我說 

